block,l1,l2,r_nominal,r_best,shift_cm
C,15,28,0.377,0.684,19.92
C,15,29,0.2331,0.4887,19.92
C,15,30,-0.091,0.5065,-17.43
C,15,31,0.2975,0.8194,-19.92
C,15,32,0.5966,0.6414,-7.47
C,16,18,0.1563,0.6378,-17.43
C,16,19,0.2746,0.2982,-2.49
C,16,20,0.5945,0.7587,-17.43
C,16,21,0.1274,0.4613,-14.94
C,16,22,0.5738,0.6638,-4.98
C,16,23,0.1737,0.2979,-9.96
C,16,24,0.1615,0.5718,-14.94
C,16,25,0.0855,0.7403,-19.92
C,16,26,0.3697,0.577,9.96
C,16,27,0.1489,0.6142,19.92
C,16,28,0.2498,0.4699,12.45
C,16,29,0.263,0.4765,19.92
C,16,30,-0.0493,0.4768,-12.45
C,16,31,0.0142,0.313,7.47
C,17,22,0.6402,0.8075,-12.45
C,17,23,0.5131,0.8389,-17.43
C,17,24,0.7442,0.8833,-14.94
